dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,casual,registered,cnt,season_holiday
2011-06-29,Fall,2011,June,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",848,4377,5225,Fall_not holiday
2011-06-30,Fall,2011,June,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1027,4488,5515,Fall_not holiday
2011-07-01,Fall,2011,July,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1246,4116,5362,Fall_not holiday
2011-07-02,Fall,2011,July,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2204,2915,5119,Fall_not holiday
2011-07-03,Fall,2011,July,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",2282,2367,4649,Fall_not holiday
2011-07-04,Fall,2011,July,holiday,monday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",3065,2978,6043,Fall_holiday
2011-07-05,Fall,2011,July,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1031,3634,4665,Fall_not holiday
2011-07-06,Fall,2011,July,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",784,3845,4629,Fall_not holiday
2011-07-07,Fall,2011,July,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",754,3838,4592,Fall_not holiday
2011-07-08,Fall,2011,July,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",692,3348,4040,Fall_not holiday
2011-07-09,Fall,2011,July,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1988,3348,5336,Fall_not holiday
2011-07-10,Fall,2011,July,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1743,3138,4881,Fall_not holiday
2011-07-11,Fall,2011,July,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",723,3363,4086,Fall_not holiday
2011-07-12,Fall,2011,July,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",662,3596,4258,Fall_not holiday
2011-07-13,Fall,2011,July,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",748,3594,4342,Fall_not holiday
2011-07-14,Fall,2011,July,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",888,4196,5084,Fall_not holiday
2011-07-15,Fall,2011,July,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1318,4220,5538,Fall_not holiday
2011-07-16,Fall,2011,July,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2418,3505,5923,Fall_not holiday
2011-07-17,Fall,2011,July,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2006,3296,5302,Fall_not holiday
2011-07-18,Fall,2011,July,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",841,3617,4458,Fall_not holiday
2011-07-19,Fall,2011,July,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",752,3789,4541,Fall_not holiday
2011-07-20,Fall,2011,July,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",644,3688,4332,Fall_not holiday
2011-07-21,Fall,2011,July,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",632,3152,3784,Fall_not holiday
2011-07-22,Fall,2011,July,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",562,2825,3387,Fall_not holiday
2011-07-23,Fall,2011,July,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",987,2298,3285,Fall_not holiday
2011-07-24,Fall,2011,July,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1050,2556,3606,Fall_not holiday
2011-07-25,Fall,2011,July,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",568,3272,3840,Fall_not holiday
2011-07-26,Fall,2011,July,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",750,3840,4590,Fall_not holiday
2011-07-27,Fall,2011,July,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",755,3901,4656,Fall_not holiday
2011-07-28,Fall,2011,July,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",606,3784,4390,Fall_not holiday
2011-07-29,Fall,2011,July,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",670,3176,3846,Fall_not holiday
2011-07-30,Fall,2011,July,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1559,2916,4475,Fall_not holiday
2011-07-31,Fall,2011,July,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1524,2778,4302,Fall_not holiday
2011-08-01,Fall,2011,August,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",729,3537,4266,Fall_not holiday
2011-08-02,Fall,2011,August,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",801,4044,4845,Fall_not holiday
2011-08-03,Fall,2011,August,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",467,3107,3574,Fall_not holiday
2011-08-04,Fall,2011,August,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",799,3777,4576,Fall_not holiday
2011-08-05,Fall,2011,August,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1023,3843,4866,Fall_not holiday
2011-08-06,Fall,2011,August,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1521,2773,4294,Fall_not holiday
2011-08-07,Fall,2011,August,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1298,2487,3785,Fall_not holiday
2011-08-08,Fall,2011,August,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",846,3480,4326,Fall_not holiday
2011-08-09,Fall,2011,August,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",907,3695,4602,Fall_not holiday
2011-08-10,Fall,2011,August,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",884,3896,4780,Fall_not holiday
2011-08-11,Fall,2011,August,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",812,3980,4792,Fall_not holiday
2011-08-12,Fall,2011,August,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1051,3854,4905,Fall_not holiday
2011-08-13,Fall,2011,August,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1504,2646,4150,Fall_not holiday
2011-08-14,Fall,2011,August,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1338,2482,3820,Fall_not holiday
2011-08-15,Fall,2011,August,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",775,3563,4338,Fall_not holiday
2011-08-16,Fall,2011,August,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",721,4004,4725,Fall_not holiday
2011-08-17,Fall,2011,August,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",668,4026,4694,Fall_not holiday
2011-08-18,Fall,2011,August,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",639,3166,3805,Fall_not holiday
2011-08-19,Fall,2011,August,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",797,3356,4153,Fall_not holiday
2011-08-20,Fall,2011,August,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1914,3277,5191,Fall_not holiday
2011-08-21,Fall,2011,August,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1249,2624,3873,Fall_not holiday
2011-08-22,Fall,2011,August,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",833,3925,4758,Fall_not holiday
2011-08-23,Fall,2011,August,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1281,4614,5895,Fall_not holiday
2011-08-24,Fall,2011,August,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",949,4181,5130,Fall_not holiday
2011-08-25,Fall,2011,August,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",435,3107,3542,Fall_not holiday
2011-08-26,Fall,2011,August,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",768,3893,4661,Fall_not holiday
2011-08-27,Fall,2011,August,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",226,889,1115,Fall_not holiday
2011-08-28,Fall,2011,August,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1415,2919,4334,Fall_not holiday
2011-08-29,Fall,2011,August,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",729,3905,4634,Fall_not holiday
2011-08-30,Fall,2011,August,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",775,4429,5204,Fall_not holiday
2011-08-31,Fall,2011,August,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",688,4370,5058,Fall_not holiday
2011-09-01,Fall,2011,September,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",783,4332,5115,Fall_not holiday
2011-09-02,Fall,2011,September,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",875,3852,4727,Fall_not holiday
2011-09-03,Fall,2011,September,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1935,2549,4484,Fall_not holiday
2011-09-04,Fall,2011,September,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2521,2419,4940,Fall_not holiday
2011-09-05,Fall,2011,September,holiday,monday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1236,2115,3351,Fall_holiday
2011-09-06,Fall,2011,September,not holiday,tuesday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",204,2506,2710,Fall_not holiday
2011-09-07,Fall,2011,September,not holiday,wednesday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",118,1878,1996,Fall_not holiday
2011-09-08,Fall,2011,September,not holiday,thursday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",153,1689,1842,Fall_not holiday
2011-09-09,Fall,2011,September,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",417,3127,3544,Fall_not holiday
2011-09-10,Fall,2011,September,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1750,3595,5345,Fall_not holiday
2011-09-11,Fall,2011,September,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1633,3413,5046,Fall_not holiday
2011-09-12,Fall,2011,September,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",690,4023,4713,Fall_not holiday
2011-09-13,Fall,2011,September,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",701,4062,4763,Fall_not holiday
2011-09-14,Fall,2011,September,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",647,4138,4785,Fall_not holiday
2011-09-15,Fall,2011,September,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",428,3231,3659,Fall_not holiday
2011-09-16,Fall,2011,September,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",742,4018,4760,Fall_not holiday
2011-09-17,Fall,2011,September,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1434,3077,4511,Fall_not holiday
2011-09-18,Fall,2011,September,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1353,2921,4274,Fall_not holiday
2011-09-19,Fall,2011,September,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",691,3848,4539,Fall_not holiday
2011-09-20,Fall,2011,September,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",438,3203,3641,Fall_not holiday
2011-09-21,Fall,2011,September,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",539,3813,4352,Fall_not holiday
2011-09-22,Fall,2011,September,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",555,4240,4795,Fall_not holiday
2011-09-23,Winter,2011,September,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",258,2137,2395,Winter_not holiday
2011-09-24,Winter,2011,September,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1776,3647,5423,Winter_not holiday
2011-09-25,Winter,2011,September,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",1544,3466,5010,Winter_not holiday
2011-09-26,Winter,2011,September,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",684,3946,4630,Winter_not holiday
2011-09-27,Winter,2011,September,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",477,3643,4120,Winter_not holiday
2011-09-28,Winter,2011,September,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",480,3427,3907,Winter_not holiday
2011-09-29,Winter,2011,September,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",653,4186,4839,Winter_not holiday
2011-09-30,Winter,2011,September,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",830,4372,5202,Winter_not holiday
2011-10-01,Winter,2011,October,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",480,1949,2429,Winter_not holiday
2011-10-02,Winter,2011,October,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",616,2302,2918,Winter_not holiday
2011-10-03,Winter,2011,October,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",330,3240,3570,Winter_not holiday
2011-10-04,Winter,2011,October,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",486,3970,4456,Winter_not holiday
2011-10-05,Winter,2011,October,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",559,4267,4826,Winter_not holiday
2011-10-06,Winter,2011,October,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",639,4126,4765,Winter_not holiday
2011-10-07,Winter,2011,October,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",949,4036,4985,Winter_not holiday
2011-10-08,Winter,2011,October,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2235,3174,5409,Winter_not holiday
2011-10-09,Winter,2011,October,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",2397,3114,5511,Winter_not holiday
2011-10-10,Winter,2011,October,holiday,monday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1514,3603,5117,Winter_holiday
2011-10-11,Winter,2011,October,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",667,3896,4563,Winter_not holiday
2011-10-12,Winter,2011,October,not holiday,wednesday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",217,2199,2416,Winter_not holiday
2011-10-13,Winter,2011,October,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",290,2623,2913,Winter_not holiday
2011-10-14,Winter,2011,October,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",529,3115,3644,Winter_not holiday
2011-10-15,Winter,2011,October,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1899,3318,5217,Winter_not holiday
2011-10-16,Winter,2011,October,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1748,3293,5041,Winter_not holiday
2011-10-17,Winter,2011,October,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",713,3857,4570,Winter_not holiday
2011-10-18,Winter,2011,October,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",637,4111,4748,Winter_not holiday
2011-10-19,Winter,2011,October,not holiday,wednesday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",254,2170,2424,Winter_not holiday
2011-10-20,Winter,2011,October,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",471,3724,4195,Winter_not holiday
2011-10-21,Winter,2011,October,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",676,3628,4304,Winter_not holiday
2011-10-22,Winter,2011,October,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1499,2809,4308,Winter_not holiday
2011-10-23,Winter,2011,October,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1619,2762,4381,Winter_not holiday
2011-10-24,Winter,2011,October,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",699,3488,4187,Winter_not holiday
2011-10-25,Winter,2011,October,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",695,3992,4687,Winter_not holiday
2011-10-26,Winter,2011,October,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",404,3490,3894,Winter_not holiday
2011-10-27,Winter,2011,October,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",240,2419,2659,Winter_not holiday
2011-10-28,Winter,2011,October,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",456,3291,3747,Winter_not holiday
2011-10-29,Winter,2011,October,not holiday,saturday,weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",57,570,627,Winter_not holiday
2011-10-30,Winter,2011,October,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",885,2446,3331,Winter_not holiday
2011-10-31,Winter,2011,October,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",362,3307,3669,Winter_not holiday
2011-11-01,Winter,2011,November,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",410,3658,4068,Winter_not holiday
2011-11-02,Winter,2011,November,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",370,3816,4186,Winter_not holiday
2011-11-03,Winter,2011,November,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",318,3656,3974,Winter_not holiday
2011-11-04,Winter,2011,November,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",470,3576,4046,Winter_not holiday
2011-11-05,Winter,2011,November,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1156,2770,3926,Winter_not holiday
2011-11-06,Winter,2011,November,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",952,2697,3649,Winter_not holiday
2011-11-07,Winter,2011,November,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",373,3662,4035,Winter_not holiday
2011-11-08,Winter,2011,November,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",376,3829,4205,Winter_not holiday
2011-11-09,Winter,2011,November,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",305,3804,4109,Winter_not holiday
2011-11-10,Winter,2011,November,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",190,2743,2933,Winter_not holiday
2011-11-11,Winter,2011,November,holiday,friday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",440,2928,3368,Winter_holiday
2011-11-12,Winter,2011,November,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1275,2792,4067,Winter_not holiday
2011-11-13,Winter,2011,November,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1004,2713,3717,Winter_not holiday
2011-11-14,Winter,2011,November,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",595,3891,4486,Winter_not holiday
2011-11-15,Winter,2011,November,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",449,3746,4195,Winter_not holiday
2011-11-16,Winter,2011,November,not holiday,wednesday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",145,1672,1817,Winter_not holiday
2011-11-17,Winter,2011,November,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",139,2914,3053,Winter_not holiday
2011-11-18,Winter,2011,November,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",245,3147,3392,Winter_not holiday
2011-11-19,Winter,2011,November,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",943,2720,3663,Winter_not holiday
2011-11-20,Winter,2011,November,not holiday,sunday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",787,2733,3520,Winter_not holiday
2011-11-21,Winter,2011,November,not holiday,monday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",220,2545,2765,Winter_not holiday
2011-11-22,Winter,2011,November,not holiday,tuesday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",69,1538,1607,Winter_not holiday
2011-11-23,Winter,2011,November,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",112,2454,2566,Winter_not holiday
2011-11-24,Winter,2011,November,holiday,thursday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",560,935,1495,Winter_holiday
2011-11-25,Winter,2011,November,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1095,1697,2792,Winter_not holiday
2011-11-26,Winter,2011,November,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",1249,1819,3068,Winter_not holiday
2011-11-27,Winter,2011,November,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",810,2261,3071,Winter_not holiday
2011-11-28,Winter,2011,November,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",253,3614,3867,Winter_not holiday
2011-11-29,Winter,2011,November,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",96,2818,2914,Winter_not holiday
2011-11-30,Winter,2011,November,not holiday,wednesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",188,3425,3613,Winter_not holiday
2011-12-01,Winter,2011,December,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",182,3545,3727,Winter_not holiday
2011-12-02,Winter,2011,December,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",268,3672,3940,Winter_not holiday
2011-12-03,Winter,2011,December,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",706,2908,3614,Winter_not holiday
2011-12-04,Winter,2011,December,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",634,2851,3485,Winter_not holiday
2011-12-05,Winter,2011,December,not holiday,monday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",233,3578,3811,Winter_not holiday
2011-12-06,Winter,2011,December,not holiday,tuesday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",126,2468,2594,Winter_not holiday
2011-12-07,Winter,2011,December,not holiday,wednesday,not weekend,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",50,655,705,Winter_not holiday
2011-12-08,Winter,2011,December,not holiday,thursday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",150,3172,3322,Winter_not holiday
2011-12-09,Winter,2011,December,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",261,3359,3620,Winter_not holiday
2011-12-10,Winter,2011,December,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",502,2688,3190,Winter_not holiday
2011-12-11,Winter,2011,December,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",377,2366,2743,Winter_not holiday
2011-12-12,Winter,2011,December,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",143,3167,3310,Winter_not holiday
2011-12-13,Winter,2011,December,not holiday,tuesday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",155,3368,3523,Winter_not holiday
2011-12-14,Winter,2011,December,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",178,3562,3740,Winter_not holiday
2011-12-15,Winter,2011,December,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",181,3528,3709,Winter_not holiday
2011-12-16,Winter,2011,December,not holiday,friday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",178,3399,3577,Winter_not holiday
2011-12-17,Winter,2011,December,not holiday,saturday,weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",275,2464,2739,Winter_not holiday
2011-12-18,Winter,2011,December,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",220,2211,2431,Winter_not holiday
2011-12-19,Winter,2011,December,not holiday,monday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",260,3143,3403,Winter_not holiday
2011-12-20,Winter,2011,December,not holiday,tuesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",216,3534,3750,Winter_not holiday
2011-12-21,Spring,2011,December,not holiday,wednesday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",107,2553,2660,Spring_not holiday
2011-12-22,Spring,2011,December,not holiday,thursday,not weekend,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",227,2841,3068,Spring_not holiday
2011-12-23,Spring,2011,December,not holiday,friday,not weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",163,2046,2209,Spring_not holiday
2011-12-24,Spring,2011,December,not holiday,saturday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",155,856,1011,Spring_not holiday
2011-12-25,Spring,2011,December,not holiday,sunday,weekend,"Clear, Few clouds, Partly cloudy, Partly cloudy",303,451,754,Spring_not holiday
